0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
C#,C++,Linux,,,,,,,,,,,,
Joomla,virtuemart,CSS, HTML,Bootstrap,,,,,,,,,,
HTML,CSS,Javascript, Front-end,WebAPI,,,,,,,,,,
تست نفوذ,امنیت شبکه,C#, C++,CISCO,,,,,,,,,,
پشتیبانی فنی,Wordpress,مستند سازی,CSS,عیب‌یابی,,,,,,,,,,
 SQL,Wordpress,Javascript,PHP,,,,,,,,,,,
 Front-end,Javascript,HTML5,CSS3,,,,,,,,,,,
Angular,typescript,Javascript,jQuery,HTML,CSS,Material Design,REST API, Git,,,,,,
UI  UX, Scrum,agile,,,,,,,,,,,,
,,,,,,,,,,,,,,
react native,API,Javascript, Git,Redux,,,,,,,,,,
Golang,Python,Scalability,,,,,,,,,,,,
PHP,MySQL,CSS3,Angular,HTML5,Laravel,,,,,,,,,
C#,Sql Server,ASP.NET,T-SQL,,,,,,,,,,,
Full-stack,PHP, OOP,MVC,HTML,jQuery,Bootstrap,,,,,,,,
مدیریت محصول,UX/UI,برنامه‌نویسی,مستند سازی,,,,,,,,,,,
C#,ASP.NET,Databases,Windows form,,,,,,,,,,,
.NET,.NET Core,Web API,Core,Sql Server,,,,,,,,,,
Angular,HTML,CSS,jQuery,Bootstrap,,,,,,,,,,
PHP,Laravel,Back-end,MySQL,Design Patterns,,,,,,,,,,
 Front-end,HTML,CSS,Javascript,React,Redux,,,,,,,,,
.NET,C#,MVC,Microsoft SQL Server ,,,,,,,,,,,
IOS,Swift,REST API,Core Data,,,,,,,,,,,
برنامه نویسی شی گرا OOP,OOP,آشنایی با مفاهیم شی گرایی,ado.net,Sql Server,Entity Framework, AJAX, JSON,Query String,Session,Session Management,Cookie,HTML,HTML5,Web API
Back-end,C#,.NET Core,Unit Testing,,,,,,,,,,,
,,,,,,,,,,,,,,
PHP, OOP,MVC,HTML,Javascript,CSS,jQuery,React,,,,,,,
Monitoring,Javascript,Java,REST,,,,,,,,,,,
Back-end,Databases,RabbitMQ,,,,,,,,,,,,
Java, OOP,HTTP,Ansible,git,Unit Tests,,,,,,,,,
React,Javascript,Less, SASS,Responsive Design,,,,,,,,,,
ReactJS,Javascript,Redux,Axios,,,,,,,,,,,
Nodejs,Entity Framework,Sql Server,C#,WCF,,,,,,,,,,
,,,,,,,,,,,,,,
طراحی سایت,Wordpress,,,,,,,,,,,,,
PHP,Wordpress,woocommerce,,,,,,,,,,,,
CSS3,HTML5,jQuery,Javascript,creative ,Bootstrap,React,Vue,Angular,AMP, AJAX,,,,
PHP,RESTful APIs ,Web Services,SOLID, SQL,NoSQL,CI/CD,HTML,CSS,jQuery, AJAX, JSON,Bootstrap, Git,
Wordpress,HTML,CSS,,,,,,,,,,,,
 Front-end,ASP.NET MVC, OOP,T-SQL,Sql Server,RESTful,Web API,,,,,,,,
React, Front-end,HTML, JavaScript,CSS,Responsive,Redux,ReactJS,,,,,,,
تحلیل داده,تجزیه و تحلیل,,,,,,,,,,,,,
ASP.NET MVC,Javascript,.NET,Sql Server,Entity Framework,,,,,,,,,,
تحلیل داده,طراحی پایگاه داده,Python,,,,,,,,,,,,
React,react native,ReactJS,Node.js,jQuery,HTML5, SASS,Javascript,,,,,,,
react native,Android,Redux,React,Javascript, Git,,,,,,,,,
 Front-end,React,CSS,HTML,Javascript,Java,,,,,,,,,
Unity,طراحی بازی,UI/UX,#C,,,,,,,,,,,
